

año, máximo, mínimo
2012,742,618
2013,735,610
2014,720,624
2015,734,623
2016,749,610

año, total,Región Metropolitana, Otras Regiones, S/I
2012,134,103,30,1
2013,136,110,22,4
2014,138,112,22,4
2015,144,114,23,5

año,matricula,eliminados,renuncias
2012,458,16,17
2013,497,5,26
2014,449,16,20
2015,435,12,35

año, municipal,partsub,particular,especial
2012,29,72,32,1
2013,20,63,45,5
2014,28,62,44,3
2015,32,59,44,9

categoría, cantidad
ordinario,22
docente,16
adjunta,7
